Plot_ID,Date,stage,B2,B3,B4,RE1,RE2,RE3,NIR,RE4,SWIR1,SWIR2,VV,VH
51,14-04-2019,LRS,0.11613,0.1118307,0.0901223,0.1272238,0.243814,0.3046687,0.2898177,0.3406948,0.1979593,0.1013192,-14.214,-19.283
68,30-03-2019,ERS,0.121435,0.1139861,0.0818237,0.1165561,0.268517,0.378746,0.3663364,0.417488,0.1804331,0.0853349,-11.443,-15.392
24,23-02-2019,MVS,0.1038596,0.0873755,0.0571868,0.0794406,0.2558572,0.3909568,0.3843515,0.4207871,0.1671192,0.072917,-15.112,-23.637
36,13-02-2019,MVS,0.1008798,0.0910837,0.0555631,0.0920113,0.2698762,0.3627027,0.3533608,0.3795452,0.1891559,0.0898051,-12.07,-17.295
63,20-03-2019,ERS,0.1098527,0.0954961,0.0650344,0.0856014,0.2398012,0.3845763,0.3647713,0.4189299,0.1507739,0.0635844,-13.358,-23.153
7,14-04-2019,LRS,0.1180115,0.1153423,0.0901304,0.1338864,0.2658703,0.3357897,0.32287,0.3745719,0.1842085,0.091276,-11.866,-17.957
56,20-03-2019,ERS,0.1095013,0.0934385,0.0637315,0.0837185,0.2388321,0.3933741,0.3702926,0.4287043,0.1624138,0.0663668,-19.986,-25.267
38,20-03-2019,ERS,0.110125,0.0948929,0.0642859,0.0855152,0.2376851,0.3796329,0.3613208,0.4121037,0.1653689,0.0720005,-17.114,-20.563
78,14-04-2019,LRS,0.1163331,0.1111089,0.0824449,0.1201761,0.2809862,0.3765742,0.3692903,0.4142031,0.1993249,0.1005245,-14.544,-21.849
14,08-02-2018,EVS,0.0951165,0.0857179,0.0576723,0.0917962,0.1937894,0.2365812,0.2179563,0.2467301,0.142096,0.0682422,-9.845,-15.858
45,14-04-2019,LRS,0.1150252,0.1094575,0.0818806,0.1199619,0.2645762,0.3404894,0.3233556,0.3772361,0.1935278,0.0939268,-13.361,-17.785
36,23-02-2019,MVS,0.1047528,0.0915191,0.0586589,0.0871977,0.2597542,0.3760288,0.3594898,0.4003088,0.1783061,0.0802786,-11.538,-19.264
54,24-04-2018,MS,0.114444,0.1076843,0.0846693,0.1166374,0.2262415,0.2960948,0.2947553,0.3297696,0.1849652,0.0964026,-6.628,-16.282
16,24-04-2018,MS,0.1178686,0.1112343,0.0952397,0.1229851,0.2152459,0.2718387,0.2609646,0.3056984,0.1899613,0.1032162,-8.127,-12.71
38,24-04-2018,MS,0.1143588,0.1063414,0.0874115,0.1143586,0.2141694,0.2750124,0.2683481,0.3056689,0.1835238,0.098942,-9.282,-14.519
74,09-04-2018,LRS,0.1236206,0.1202336,0.1117634,0.1470964,0.2223269,0.2611154,0.2423741,0.2875642,0.1969131,0.1163998,-10.067,-16.733
81,03-02-2019,EVS,0.1157796,0.1023775,0.0711188,0.1019553,0.1887949,0.2219099,0.2164696,0.2323321,0.1202077,0.0629795,-9.381,-17.917
37,14-01-2018,EVS,0.1337955,0.1137343,0.0948983,0.1058874,0.1228643,0.1355268,0.1165065,0.1359394,0.0744992,0.0429465,-10.959,-18.438
42,09-04-2018,LRS,0.1089637,0.099467,0.0672369,0.1004252,0.2667723,0.3921752,0.3742684,0.4341937,0.164618,0.0696053,-12.723,-15.288
